东南大学    党委书记	易红	 	 	 
东南大学    校长、党委副书记	张广军
东南大学    党委常务副书记 	左惟
东南大学    常务副校长	王保平
东南大学    党委副书记	郑家茂	 
东南大学    党委副书记、纪委书记	任利剑	 
东南大学    总会计师	丁辉
东南大学    副校长	黄大卫;吴刚;金保昇;周佑勇
建筑学院	名誉院长	齐康(兼)
建筑学院	党委书记	冷嘉伟
建筑学院	院长	韩冬青
建筑学院	党委副书记	李向锋
建筑学院	副院长	张彤,葛明,孙世界,石邢,李向锋(兼)
机械工程学院	党委书记	张志胜
机械工程学院	院长	倪中华
机械工程学院	党委副书记	王斌
机械工程学院	副院长	陈云飞,孙蓓蓓,殷国栋,王斌(兼)
机械工程学院	工业发展与培训中心主任	张远明
能源与环境学院	党委书记	朱小良
能源与环境学院	院长	肖睿
能源与环境学院	党委副书记	司风琪
能源与环境学院	副院长	黄亚继,朱光灿,李舒宏,司风琪(兼)
能源与环境学院	热能工程研究所所长	金保昇(兼)
能源与环境学院	热能工程研究所副所长	傅行军(兼)
能源与环境学院	测量振动中心主任	傅行军
信息科学与工程学院	党委书记	李久贤
信息科学与工程学院	院长	洪伟
信息科学与工程学院	党委副书记	孙威
信息科学与工程学院	副院长	陆卫兵,高西奇,张在琛,黄永明,孙威(兼)
土木工程学院	党委书记	刘静
土木工程学院	院长	王景全
土木工程学院	党委副书记	张豪裕
土木工程学院	副院长	舒赣平,童小东,黄镇,张豪裕(兼)
电子科学与工程学院、微电子学院	党委书记	施建宁
电子科学与工程学院、微电子学院	党委副书记	宋晓燕
电子科学与工程学院、微电子学院	电子科学与工程学院副院长	孙立涛(主持工作),汤勇明,仲雪飞,王著元,徐申,宋晓燕(兼)
电子科学与工程学院、微电子学院	微电子学院副院长	孙立涛(主持工作),汤勇明,仲雪飞,王著元,徐申,宋晓燕(兼)
电子科学与工程学院、微电子学院	微电子学院兼职副院长	李智群
数学学院	党委书记	吴映红
数学学院	院长	曹进德
数学学院	党委副书记	曹海燕
数学学院	副院长	陈文彦,虞文武,李玉祥,曹海燕(兼)
自动化学院	党委书记	袁晓辉
自动化学院	院长	王保平(兼)
自动化学院	党委副书记	金立左
自动化学院	副院长	魏海坤,孙长银,李世华,金立左(兼)
物理学院	党委书记	王勇刚
物理学院	院长	杨永宏
物理学院	党委副书记	潘勇涛
物理学院	副院长	戴玉蓉,邱腾,倪振华,潘勇涛(兼)
计算机科学与工程学院、软件学院	党委书记	程光
计算机科学与工程学院、软件学院	院长	罗军舟
计算机科学与工程学院、软件学院	党委副书记	裴锋
计算机科学与工程学院、软件学院	计算机科学与工程学院副院长	曹玖新,舒华忠,耿新,李伟,裴锋(兼)
计算机科学与工程学院、软件学院	软件学院副院长	曹玖新,舒华忠,耿新,李伟,裴锋(兼)
生物科学与医学工程学院	党委书记	洪宗训
生物科学与医学工程学院	院长	顾忠泽
生物科学与医学工程学院	党委副书记	周平
生物科学与医学工程学院	副院长	谢建明,徐春祥,赵祥伟,周平(兼)
材料科学与工程学院	党委书记	杨树东
材料科学与工程学院	院长	薛烽
材料科学与工程学院	党委副书记	李磊
材料科学与工程学院	副院长	张亚梅,储成林,沈宝龙,李磊(兼)
人文学院	党委书记	李涛
人文学院	院长	王珏
人文学院	党委副书记	何熠
人文学院	副院长	王兵,乔光辉,王俊,何熠(兼)
经济管理学院	党委书记	仲伟俊
经济管理学院	院长	赵林度
经济管理学院	党委副书记	祝虹
经济管理学院	副院长	周勤,张玉林,舒嘉,祝虹(兼)
电气工程学院	党委书记	顾永红
电气工程学院	院长	赵剑锋
电气工程学院	党委副书记	杨蕙
电气工程学院	副院长	吴在军,高山,黄允凯,杨蕙(兼)
外国语学院	党委书记	马强
外国语学院	院长	陈美华
外国语学院	党委副书记	汤顶华
外国语学院	副院长	刘克华,朱善华,马冬梅,汤顶华(兼)
外国语学院	体育系
外国语学院	党总支书记	王强
外国语学院	主任	蔡晓波
外国语学院	副主任	沈辉,金凯,王青禾
化学化工学院	党委书记	蒋波
化学化工学院	党委副书记	陆娟
化学化工学院	副院长	刘松琴,周建成,杨洪,陆娟(兼)
交通学院	党委书记	秦霞
交通学院	院长	刘攀
交通学院	党委副书记	陈怡
交通学院	副院长	钱振东,陆建,程建川,顾兴宇,陈峻,陈怡(兼)
仪器科学与工程学院	党委书记	王军
仪器科学与工程学院	院长	宋爱国
仪器科学与工程学院	党委副书记	张力
仪器科学与工程学院	副院长	李宏生,王立辉,严如强,张力(兼)
艺术学院	党委书记	王和平
艺术学院	院长	王廷信
艺术学院	党委副书记	徐进
艺术学院	副院长	崔天剑,李轶南,徐进(兼)
法学院	党委书记	孟红
法学院	院长	刘艳红
法学院	党委副书记	高歌
法学院	副院长	李煜兴,欧阳本祺,高歌(兼)
医学院	党委书记	谭东伟
医学院	院长	刘乃丰(兼)
医学院	党委副书记	程斌
医学院	副院长	孙子林,王立新,赵春杰,姚红红,程斌(兼)
公共卫生学院	党委书记	李涛
公共卫生学院	院长	尹立红
公共卫生学院	党委副书记	凤启龙
公共卫生学院	副院长	金辉,梁戈玉,凤启龙(兼)
吴健雄学院	院长	张广军(兼)
吴健雄学院	党总支书记	雷威(兼)
吴健雄学院	常务副院长	雷威
吴健雄学院	党总支副书记	钟辉
吴健雄学院	副院长	况迎辉,钟辉(兼)
海外教育学院	院长	邱斌
海外教育学院	副院长	徐健
马克思主义学院	院长	袁久红
马克思主义学院	党委副书记	袁健红
马克思主义学院	副院长	盛凌振,叶海涛,袁健红(兼)
网络空间安全学院	常务副院长	程光(兼)
网络空间安全学院	副院长	陈立全
